label,message
spam,Win a free iPhone now!
ham,Call me later when you're free
spam,Exclusive offer! Buy 1 get 1 free
ham,Don't forget to bring your notebook
spam,Congratulations! You have won $1000
ham,Can we meet tomorrow morning?
spam,Claim your free gift card now
ham,How are you doing today?
spam,Limited time offer! Act now
ham,Can you help me with this task?
spam,Your account has been compromised. Reset now!
ham,What time is the meeting today?
spam,Get a free subscription for 3 months
ham,Let me know if you're available
spam,You are pre-approved for a $5000 loan
ham,I'll call you later in the evening
spam,Update your banking details to avoid deactivation
ham,Happy Birthday! Hope you have a great day
spam,Win a brand new car by entering this contest
ham,Let’s catch up over coffee this weekend
spam,Don't miss this opportunity! Click here to win
ham,Are you coming to the event tonight?
spam,Lowest prices on electronics this week only
ham,Let’s plan a trip soon. Need a break!
spam,Your parcel is waiting for delivery. Confirm now
ham,Check out the photos I sent yesterday
spam,Hot singles in your area. Sign up now!
ham,Can you review the document I emailed?
